"Time","B900000059F6C721","8B000000604BCA21","6C00000060237021","D6000000604E9221","9C000000603A6F21","310000002078F621","9C000000358BDB21","46000000207EF321","E000000038A51421","1C00000035885421","5000000020835321","460000003866BD21","E800000020821321","FC00000037C82D21","0500000040B38421","DA0000003F4EB921","CA00000036AC8821","F50000005A1A8A21","4A0000005A210221","0D00000037866721","96000000386C2921","DE00000037CD6A21","3600000037D91421","C7000000358C8421","9F00000037B3B721","030000005A9EB021","610000005AC81121","2A0000005AB5B821","FA0000005ABA5121","5C0000005AA3B121","F60000005AD0DC21","040000005AAAE621","590000005AC13D21","2E0000005AB59E21","6B0000005AA6CD21","950000005ABFAB21","D90000005AB10D21","830000005ABA7B21","020000005AB6F621","0D0000005A9EC921","A60000005AC94E21","9E0000005AA07F21","780000005A9DA221","CE0000005AA7FA21","920000005AADA021","FE0000005AAF8321","540000005AC1D221","370000005ACEB821","920000005AACB921","0B0000005ABDDC21","460000005AAFDA21","280000005AA37421","400000005ABD5421","140000005AC94821","720000005AC90621","A90000005AA73121","960000005AB28821","9D0000005ABB8321","FF0000005ABE9621","360000005ACE3D21","890000005AA05721","AE0000005ACC7F21","BB0000005AD06121","F90000005AC5D421","A80000005AA58621","2F0000005AB25421","C40000005AA0EA21","9A0000005AB79F21","520000005AB40E21","660000005ABD4821","C70000005A9E6021","990000005AAB2C21","CC0000005AC87321","EE0000005AD00821","560000005AA1DC21","290000005AA5A721","3B0000005ACED221","F30000005AC2C421","0D0000005AB98D21","AE0000005AD05A21","6E0000005ABC1D21","4D0000005AAD3221","CC0000005ACC1721","F70000005A9DFA21","BD0000005AAA3A21","440000005AB69121","B20000005AAEA221","940000005AAEBE21","CB0000005AB3B421","460000005AA52021","7C0000005AC4CA21","D60000005AA63721","590000005AA31221*","AF0000005AC98721","930000005A9F9521*","940000005ACEA321","290000005AA81221","740000005ABA8C21","C70000005AAA8621","D90000005AC6D621","7F0000005AA8ED21","620000005AC36421","DB0000005AB65121","D20000005AC89221","BE0000005AC99A21","410000005AB9B521","300000005ABBE121","120000005AB8F021","670000005ACF6B21","E40000005AAF4421","750000005AB49721","B90000005AAC4A21","120000005ABFBF21","4F0000005AB10421","250000005AD13D21","740000005ABFF121","860000005AC5CB21","390000005ABB2821","980000005AC05721","7F0000005ABB4F21","C40000005AC6A121","E40000005ABED421","0F0000005A9FC321","FB0000005AA6F121","0E0000005AA04321","960000005AB39121","810000005AAE8521","4F0000005AC5F421","210000005ACD3E21","D30000005AB42F21","B30000005ACB4721","040000005AB6C321","C20000005ABEC821","CA0000005AC4EA21","F50000005AB52A21","EE0000005AC19821","380000005A9DF021","C90000005AC75721","C60000005AA1E021","4A0000005AA54A21","CA0000005ABDAF21","050000005ACC2821","D90000005AC19921","400000005ACA8F21*","EF0000005AC00421","A30000005ABC0421","EE0000005ABDA021","260000005ABE3121","890000005ACFCD21","720000005ABDF621","DA0000005AC33D21","BD0000005AC2EF21","2D0000005AB07521","CE0000005AA0B521","0F0000005AC1C221","0C0000005AA89821*","E70000005AC70721","540000005AC80321","B60000005ABB7021","240000005AAC9921","DF0000005AA97921","740000005AB50B21","E50000005ACDEE21","B200000037890921","AC00000037AAC821","ED0000005A9E1621","AF0000005AC37D21","AB0000005AADD821","A60000005AA84A21","C20000005AA79021","670000005AB41C21","E10000005ACDC821","DB0000005ABBE421","6F0000005AA4D921","790000005AA64621","0C0000005ABC7521","580000005ACB4221","FB0000005AA4C321","A20000005AA5D921","620000005AD0C621","300000005AC7D921","0A0000005AA9B421","270000005ACF3921","B60000005AA33121","D60000005AB3C321","8D0000005AB1E121","790000005ACF8A21","090000005AAF7421","290000005ACB2421","E60000005AA0D021","410000005AA3C621*","A70000005AA74821","AE0000005AB70821","680000005ABB6721","560000005AB15521","5E0000005A9E9521","A30000005AB7E721*","490000003794A821","F700000020842121"
2024-09-30 22:55:00,18.5,18,18,18,18,18,18,18,18.5,18.5,18,18.5,18,19,18,18.5,18.5,18,18,18.5,18,18,18,18.5,85,19,18.5,18.5,18,18.5,18,19,18.5,20.5,19,18.5,18.5,18.5,18.5,18.5,18.5,18,19,19,18,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18.5,18.5,18,22.5,18,18.5,18.5,18.5,18.5,19,18.5,18.5,18.5,18.5,19,19,18.5,18.5,18,19,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18,19,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,20,19,18,18,18.5,18.5,19,18.5,22,18,19,18.5,19,18.5,18.5,18.5,19,18,18.5,18.5,19,18.5,18.5,18,18.5,19,20.5,18.5,18.5,18.5,18.5,18.5,19,18.5,18.5,18.5,18.5,18.5,18,18,19,19,18.5,18.5,18.5,18,18,18.5,18.5,18.5,18,18.5,18.5,18,18.5,18,18,18,18.5,18,18.5,18.5,18.5,18,18.5,18.5,18.5,18,18.5,18,18,18.5,21,18.5,18.5,18.5,20.5,18.5,20,18.5,18,18.5,19,18.5,22,18,19,18.5,18.5,18.5,18.5,18
2024-09-30 23:00:00,18.5,18,18,18,18,18,18,18,18.5,18.5,17.5,18.5,18,19,18,18.5,18.5,18,18,18.5,18,18,18,18.5,85,19,18.5,18.5,18,18.5,18,19,18.5,21,19,18.5,18.5,18.5,18.5,18.5,18.5,18,19,19,18,18.5,18.5,18.5,18,18.5,18.5,19,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18,18.5,18,23,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19,18.5,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,19,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,20,19,18,18,18.5,18,19,18.5,22.5,18,19,18.5,19,18.5,18.5,18.5,19,18,18.5,18.5,18.5,18.5,18.5,18,18.5,19,20.5,18.5,18.5,18.5,18.5,18.5,19,18.5,18.5,18,18.5,18,18,18,19,18.5,18.5,18.5,18.5,18,18,18.5,18.5,18.5,18,18.5,18.5,18,18.5,18,18,18,18.5,18,18.5,18.5,18.5,18,18.5,18,18.5,18,18.5,18,18.5,18.5,21,18.5,18.5,18.5,21,18.5,20,18.5,18,18.5,18.5,18.5,22,18,19,18.5,18.5,18.5,18.5,18
2024-09-30 23:05:00,18.5,18,18,18,18,18,18,18,18,18.5,17.5,18.5,18,19,18,18.5,18.5,18,18,18.5,18,18,18,18.5,85,19,18.5,18.5,18,18.5,18.5,19,18.5,21,19,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,19,18,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18,22,18,18.5,18.5,18.5,18.5,19,18,18.5,18,18.5,19,19,18.5,18.5,18,18.5,19,18.5,18.5,18.5,18,18.5,18.5,18.5,18,19,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,20,18.5,18,18.5,18.5,18.5,19,18.5,22.5,18,19,18.5,19,18.5,18.5,18.5,19,18,18.5,18.5,18.5,18.5,18.5,18,18.5,18.5,20.5,18.5,18.5,18.5,18.5,18.5,19,18.5,18.5,18,18.5,18,18,18,19,18.5,18.5,18.5,18.5,18,18,18.5,18.5,18.5,18,18.5,18.5,18,18.5,18,18,18,18,18,18.5,18.5,18.5,18,18.5,18.5,18.5,18,18.5,18,18.5,18.5,20.5,18.5,18.5,18.5,20.5,18.5,20,18.5,18,18.5,18.5,18.5,21,18,19,18.5,18.5,18.5,18.5,18
2024-09-30 23:10:00,18.5,18,18,18,18.5,18,18,18,18.5,18.5,17.5,18.5,18,19,18,18.5,18.5,18,18,18.5,18,18,18,18.5,85,19,18.5,18.5,18,18.5,18.5,19,18.5,20.5,19,18,18.5,18.5,18.5,18.5,18.5,18,18.5,19,18,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18,22.5,18,18.5,18.5,18.5,18.5,19,18.5,18.5,18.5,18.5,18.5,19,18,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,19,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,20,19,18,18.5,18.5,18.5,19,18.5,23,18.5,19,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18.5,18,18.5,19,20.5,18.5,18.5,18.5,18.5,19,19,18.5,18.5,18,18.5,18,18,18,19,18.5,18.5,18.5,18.5,18,18,18.5,18.5,18.5,18,18.5,18.5,18,18.5,18,18,18,18,18,18.5,18.5,18.5,18,18.5,18.5,18.5,18,18.5,18,18.5,18.5,21,18.5,18.5,18,20,18.5,19.5,18.5,18,18,18.5,18.5,20.5,18,19,18.5,18.5,18,18.5,18
2024-09-30 23:15:00,18.5,18,18,18,18,18,18,18,18,18.5,17.5,18.5,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,85,18.5,18.5,18.5,18,18.5,18.5,19,18.5,20.5,19,18,18.5,18.5,18.5,18.5,18.5,18,18.5,19,18,18,18.5,18.5,18,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18,23,18,18.5,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,19,18.5,18.5,18,18.5,18.5,18.5,18,18.5,18,18.5,18.5,18.5,18,19,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19.5,19,18,18.5,18.5,18.5,18.5,18.5,23.5,18.5,19,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,20.5,18.5,18.5,18.5,18,18.5,19,18.5,18.5,18,18.5,18,18,18,19,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18,18.5,18.5,18,18.5,18,18,18,18.5,18,18.5,18.5,18.5,18,18.5,18.5,18.5,18,18.5,18,18.5,18.5,20.5,18.5,18.5,18,20.5,18.5,20.5,18.5,18,18.5,18.5,18.5,19.5,18,18.5,18.5,18.5,18.5,18.5,18
2024-09-30 23:20:00,18,18.5,18,18,18,18,18,18,18,18.5,17.5,18.5,18,18.5,18,18.5,18,18,18,18.5,18,18,18,18.5,85,18.5,18.5,18.5,18,18.5,18,18.5,18.5,19.5,18.5,18,18,18.5,18.5,18.5,18,18,18.5,18.5,18,18,18.5,18.5,18,18.5,18,18.5,18.5,18,18,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18,18.5,18,22,18,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18.5,19,18,18.5,18,18.5,18.5,18.5,18,18.5,18.5,18.5,18,18.5,18,19,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,21,19,18,18,18.5,18,19,18.5,22.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18,18.5,18.5,18.5,18.5,21,18,18.5,18.5,18,18.5,18.5,18.5,18.5,18,18.5,18,18,18,19,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18,18.5,18.5,18,18.5,18,18,18,18,18,18.5,18.5,18.5,18,18.5,18.5,18,18,18.5,18,18,18.5,20.5,18.5,18.5,18.5,21.5,18.5,20,18.5,18,18,18.5,18.5,19,18,18.5,18,18.5,18.5,18.5,18
2024-09-30 23:25:00,18,18,18,18,18,18,18,18,18,18.5,17.5,18.5,18,18.5,18,18,18.5,18,18,18.5,18,18,18,18,85,18.5,18.5,18.5,18,18.5,18,18.5,18.5,20,18.5,18,18,18.5,18.5,18.5,18.5,18,18.5,19,18,18,18.5,18,18,18,18,18.5,18,18,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18,18.5,18,22,18,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18.5,19,18,18.5,18,18.5,18.5,18.5,18,18.5,18,18.5,18,18.5,18,19,18,18.5,18.5,18,18.5,18.5,18.5,18.5,18,20.5,19,18,18,18.5,18,18.5,18.5,22.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18.5,19,18,18.5,18,18.5,18.5,21,18,18.5,18.5,18,18.5,18.5,18.5,18.5,18,18.5,18,18,18,19,18.5,18.5,18.5,18.5,18,18,18.5,18.5,18.5,18,18.5,18,18,18.5,18,18,18,18,18,18.5,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18.5,21,18.5,18.5,18,20.5,18.5,19.5,18.5,18,18,18.5,18.5,19,18,18.5,18,18.5,18,18.5,18
2024-09-30 23:30:00,18,18,18,18,18,18,18,18,18,18.5,17.5,18.5,18,18.5,18,18,18.5,18,18,18,18,18,18,18,85,18.5,18.5,18.5,18,18.5,18,18.5,18.5,20,18.5,18,18,18.5,18.5,18.5,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18.5,18,18,18.5,18,18.5,18.5,18,18.5,18.5,18.5,18,18.5,18,18.5,18,18.5,18,18.5,18,21.5,18,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18.5,19,18,18.5,18,18.5,18.5,18,18,18.5,18,18.5,18,18.5,18,19,18,18.5,18.5,18,18.5,18.5,18.5,18.5,18,20.5,18.5,18,18,18.5,18,18.5,18.5,22,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18.5,18,18.5,18.5,20.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18,18,18.5,18,18,18,18.5,18.5,18.5,18.5,18.5,17.5,18,18.5,18.5,18.5,18,18.5,18,18,18.5,18,18,18,18,18,18,18,18.5,18,18.5,18,18,18,18.5,18,18,18.5,20.5,18.5,18.5,18,20.5,18.5,19.5,18.5,18,18,18.5,18.5,19,18,18.5,18.5,18.5,18,18.5,18
2024-09-30 23:35:00,18,18.5,18,18,18,18,18,18,18,18,17.5,18.5,18,18.5,18,18,18,18,18,18.5,18,18,18,18,85,18.5,18.5,18.5,18,18.5,18,18.5,18.5,19.5,18.5,18,18,18.5,18.5,18.5,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18.5,18,18,18.5,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18,21.5,18,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18.5,19,18,18.5,18,18.5,18.5,18,18,18.5,18,18.5,18,18.5,18,18.5,18,18.5,18.5,18,18.5,18.5,18.5,18.5,18.5,20,18.5,18,18,18.5,18,18.5,18.5,21,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18.5,18,18.5,18.5,21,18.5,18.5,18.5,18,18.5,18.5,18.5,18,18,18.5,18,18,18,19,18.5,18.5,18.5,18.5,17.5,18,18.5,18,18.5,18,18.5,18,18,18.5,18,18,18,18,18,18.5,18,18.5,18,18.5,18,18,18,18.5,18,18,18.5,21,18.5,18.5,18,20.5,18.5,19.5,18.5,18,18,18.5,18.5,19,18,18.5,18.5,18,18,18.5,18
2024-09-30 23:40:00,18,19.5,18,18,18,17.5,18,18,18,18,17.5,18.5,18,18.5,18,18.5,18,18,18,18.5,18,18,18,18,85,18.5,18.5,18.5,18,18.5,18,18.5,18.5,21,18.5,18,18,18,18.5,18.5,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18.5,18,18,18,18,18,18.5,18,18.5,18,18.5,18.5,18.5,18,18.5,18,18.5,18,18.5,18,21.5,18,18.5,18.5,18.5,18.5,18.5,18,18.5,18,18.5,18.5,19,18,18.5,18,18.5,18.5,18,18,18.5,18,18.5,18,18.5,18,18.5,18,18,18,18,18.5,18.5,18.5,18.5,18,19,18.5,18,18,18.5,18,18.5,18.5,21,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18.5,18,19.5,18,18.5,18,18.5,18.5,20.5,18,18.5,18.5,18,18.5,18.5,18.5,18,18,18.5,18,18,18,18.5,18.5,18,18.5,18.5,17.5,18,18.5,18.5,18.5,18,18.5,18,18,18.5,18,18,18,18,18,18.5,18,18,18,18.5,18,18,18,18.5,18,18,18.5,21,18.5,18.5,18,20,18.5,19.5,18.5,18,18,18.5,18.5,21,18,18.5,18.5,18,18,18.5,17.5
2024-09-30 23:45:00,18,20.5,18,18,18,17.5,18,18,18,18,17,18.5,17.5,18.5,18,18.5,18,18,18,18.5,18,18,18,18,85,18.5,18.5,18.5,18,18.5,18,18.5,18.5,20,18.5,18,18,18,18,18,18,18,18.5,18.5,18,18,18.5,18,18,18,18,18.5,18,18,18,18,18,20.5,18,18.5,18.5,18.5,18.5,18,18,18.5,18,18.5,18,18.5,18,21,18,18.5,18.5,18,18.5,18.5,18,18.5,18,18.5,18.5,19,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18,18.5,18,18,18,18,18.5,18.5,18.5,18.5,18,19,18.5,18,18,18.5,18,18.5,18.5,20.5,18,18.5,18.5,18.5,18.5,18,18.5,18.5,17.5,18.5,18,20.5,18,18.5,18,18,18.5,20,18.5,18.5,18.5,18,18.5,18.5,18.5,18,18,18,18,18,18,18.5,18.5,18,18,18.5,17.5,18,18.5,18,18,18,18.5,18,17.5,18.5,18,18,18,18,18,18,18,18,18,18.5,18,18,18,18.5,18,18,18,22,18.5,18,18,20,18.5,19.5,18.5,17.5,18,18.5,18.5,21,18,18.5,18.5,18,18,18.5,18
2024-09-30 23:50:00,18,20.5,18,18,18,17.5,18,18,18,18,17,18.5,17.5,18.5,18,18,18,17.5,18,18,18,18,18,18,85,18.5,18,18.5,18,18.5,18,18.5,18.5,19.5,18.5,18,18,18,18,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18,18.5,18,18,18.5,18,18,20.5,18,18.5,18,18.5,18,18,18,18.5,18,18.5,18,18.5,18,22,18,18.5,18,18,18.5,18.5,18,18,18,18.5,18.5,18.5,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18,18.5,18,18,18,18,18,18.5,18.5,18.5,18,19,18.5,18,18,18.5,18,18.5,18,20.5,18,18.5,18,18.5,18.5,18,18.5,18.5,17.5,18.5,18,20.5,18.5,18.5,18,18,18.5,20,18.5,18,18.5,18,18.5,18.5,18.5,18,18,18,18,18,18,18.5,18.5,18,18,18.5,17.5,18,18.5,18,18,18,18.5,18,17.5,18.5,18,18,18,18,17.5,18,18,18,18,18.5,18,18,18,18.5,18,18,18,21,18.5,18,18,19.5,18.5,19.5,18,17.5,18,18.5,18.5,20.5,18,18.5,18,18,18,18,17.5
2024-09-30 23:55:00,18,21.5,18,18,18,17.5,17.5,18,18,18,17,18.5,17.5,18.5,18,18,18,17.5,18,18,18,18,18,18,85,18.5,18,18.5,18,18.5,18,18.5,18.5,19,18.5,18,18,18,18,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18,18.5,18,18,18,18,18,21,18,18.5,18,18.5,18,18,18,18.5,18,18,18,18.5,18,22,17.5,18.5,18,18,18.5,18.5,18,18,18,18.5,18.5,18.5,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18,18.5,18,18,18,18,18,18.5,18.5,18.5,18,19.5,18.5,18,18,18.5,18,18.5,18,21,18,18.5,18,18.5,18.5,18,18.5,18.5,17.5,18.5,18,21,18,18.5,18,18,18.5,20,18.5,18,18.5,18,18.5,18.5,18.5,18,18,18,18,18,18,18.5,18.5,18,18,18.5,17.5,18,18.5,18,18,18,18.5,18,17.5,18.5,18,17.5,17.5,18,17.5,18,18,18,18,18.5,18,18,18,18.5,18,18,18,21,18.5,18,18,19.5,18,19.5,18,17.5,18,18.5,18.5,19.5,18,18.5,18,18,18,18,17.5
2024-10-01,18,21.5,18,17.5,18,17.5,17.5,18,18,18,17,18.5,17.5,18.5,18,18,18,17.5,18,18,18,18,18,18,85,18.5,18,18,18,18.5,18,18.5,18.5,19,18.5,18,18,18,18,18,18,18,18.5,18.5,18,18,18.5,18,17.5,18,18,18.5,18,18,18,18,18,20.5,18,18.5,18,18.5,18,18,18,18.5,18,18,18,18.5,18,21,17.5,18,18,18,18.5,18.5,18,18,18,18.5,18.5,18.5,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18,18.5,18,18,18,18,18,18.5,18,18.5,18,19,18.5,18,18,18.5,18,18.5,18,21,18,18.5,18,18.5,18.5,18,18,18.5,17.5,18.5,18,21,18,18.5,18,18,18.5,19.5,18,18,18.5,18,18.5,18.5,18.5,18,18,18,18,18,18,18.5,18.5,18,18,18,17.5,18,18.5,18,18,18,18.5,18,17.5,18.5,18,17.5,17.5,18,17.5,18,18,18,18,18.5,18,18,18,18.5,18,18,18,21.5,18.5,18,18,20,18,20.5,18,17.5,18,18.5,18.5,19.5,18,18.5,18,18,18,18,17.5
2024-10-01 00:05:00,18,21.5,18,17.5,18,17.5,17.5,18,18,18,17,18.5,17.5,18.5,18,18,18,17.5,18,18,18,18,18,18,85,18.5,18,18,18,18.5,18,18.5,18.5,19,18.5,18,18,18,18,18,18,18,18.5,18.5,18,18,18.5,18,18,18,18,18.5,18,18,18,18,18,21,18,18.5,18,18.5,18,18,18,18.5,18,18,18,18.5,18,21,18,18,18,18,18.5,18.5,18,18,18,18.5,18.5,18.5,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18,18.5,18,18,18,18,18,18,18,18.5,18,21,18.5,18,18,18.5,18,18.5,18,20.5,18,18.5,18,18.5,18.5,18,18,18.5,17.5,18.5,18,20.5,18,18.5,18,18,18.5,20.5,18,18,18.5,18,18.5,18.5,18.5,18,18,18,18,18,18,18.5,18.5,18,18,18,17.5,18,18.5,18,18,18,18.5,18,17.5,18,18,17.5,17.5,18,17.5,18,18,18,18,18,18,18,18,18.5,18,18,18,20.5,18.5,18,18,22,18,19.5,18,17.5,18,18.5,18.5,22.5,18,18.5,18,18,18,18,17.5
2024-10-01 00:10:00,18,21.5,18,17.5,18,17.5,17.5,18,18,18,17,18.5,17.5,18.5,18,18,18,17.5,18,18,18,18,18,18,85,18.5,18,18,18,18.5,18,18.5,18.5,19,18.5,18,18,18,18,18,18,18,18.5,18.5,18,18,18.5,18,18,18,18,18.5,18,18,18,18,18,21.5,18,18.5,18,18.5,18,18,18,18.5,18,18,18,18.5,18,20.5,18,18,18,18,18,18.5,18,18,18,18.5,18.5,18.5,18,18.5,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18,18.5,18,18,18,18,18,18.5,18.5,18.5,18,19.5,18.5,18,18,18.5,18,18.5,18,20,18,18.5,18,18.5,18.5,18,18,18.5,17.5,18.5,18,20.5,18,18.5,18,18,18.5,19.5,18,18,18.5,18,18.5,18.5,18.5,18,18,18,18,18,18,18.5,18.5,18,18,18,17.5,18,18.5,18,18,18,18.5,18,17.5,18,18,17.5,18,18,17.5,18,18,18,18,18,18,18,18,18.5,18,18,18,21,18,18,18,21,18,19.5,18.5,17.5,18,18.5,18.5,22.5,18,18.5,18,18,18,18,17.5
2024-10-01 00:15:00,18,22,18,17.5,18,17.5,17.5,18,18,18,17,18.5,17.5,18.5,18,18,18,17.5,17.5,18,18,18,18,18,85,18.5,18,18,18,18.5,18,18.5,18.5,19,18.5,18,18,18,18,18,18,18,18.5,18.5,17.5,18,18.5,18,18,18,18,18.5,18,18,18,18,18,21,18.5,18,18,18.5,18,18,18,18.5,18,18,18,18.5,18,20.5,18,18,18,18,18.5,18.5,18,18,18,18,18.5,18.5,18,18,18,18.5,18.5,18,18,18.5,18,18,18,18.5,18,18.5,18,18,18,18,18,18,18,18,18,20,18.5,18,18,18.5,18,18.5,18,20,17.5,18.5,18,18.5,18,18,18,18.5,17.5,18,18,20.5,18,18.5,18,18,18.5,20,18,18,18.5,18,18.5,18.5,18.5,18,18,18,18,18,17.5,18.5,18.5,18,18,18,17.5,18,18,18,18,17.5,18.5,18,17.5,18,17.5,17.5,18,18,17.5,18,18,18,18,18,18,18,18,18.5,18,18,18,21.5,18,18,18,20,18,20.5,18.5,17.5,18,18.5,18.5,22.5,18,18.5,18,18,18,18,17.5
2024-10-01 00:20:00,18,21.5,18,17.5,18,17.5,17.5,18,18,18,17,18,17.5,18.5,18,18,18,17.5,17.5,18,18,18,18,18,85,18.5,18,18,18,18.5,18,18.5,18,19,18.5,18,18,18,18,18,18,18,18.5,18.5,17.5,18,18.5,18,17.5,18,18,18.5,18,18,18,18,18,21,18,18,18,18.5,18,18,18,18.5,18,18,18,18.5,18,21,18,18,18,18,18,18.5,18,18,18,18,18.5,18.5,18,18,18,18.5,18.5,18,18,18,18,18,18,18.5,18,18.5,17.5,18,18,18,18,18,18,18,18,19.5,18.5,18,18,18.5,18,18.5,18,20.5,18,18.5,18,18.5,18,18,18,18.5,17.5,18,18,20.5,18,18.5,18,18,18.5,21,18,18,18.5,18,18.5,18.5,18.5,18,18,18,18,18,17.5,18.5,18.5,18,18,18,17.5,18,18,18,18,17.5,18.5,18,17.5,18,17.5,17.5,18,18,17.5,18,18,18,17.5,18,18,18,18,18,18,18,18,21.5,18,18,18,20,18,19.5,18,17.5,18,18.5,18.5,22,18,18.5,18,18,18,18,17.5
2024-10-01 00:25:00,18,20.5,18,17.5,18,17.5,17.5,18,18,18,17,18,17.5,18.5,18,18,18,17.5,17.5,18,18,18,18,18,85,18.5,18,18,18,18.5,18,18.5,18.5,19,18.5,18,18,18,18,18,18,17.5,18.5,18.5,17.5,18,18.5,18,17.5,18,18,18.5,18,17.5,18,18,18,21,18,18,18,18.5,18,18,18,18.5,18,18,18,18.5,18,20.5,17.5,18,18,18,18,18.5,18,18,18,18,18.5,18.5,18,18,17.5,18.5,18.5,18,18,18,18,18,18,18.5,18,18.5,17.5,18,18,18,18,18,18,18,18,19,18.5,18,18,18.5,18,18.5,18,20.5,18,18.5,18,18.5,18,18,18,18.5,17.5,18,18,20.5,18,18.5,18,18,18.5,20,18,18,18.5,18,18.5,18.5,18,18,18,18,18,18,17.5,18.5,18.5,18,18,18,17.5,18,18,18,18,17.5,18.5,18,17.5,18,17.5,17.5,17.5,18,17.5,18,18,18,18,18,18,18,18,19,18,18,18,21,18,18,18,19.5,18,19.5,18,17.5,18,18.5,18.5,21.5,18,18.5,18,18,18,18,17.5
2024-10-01 00:30:00,18,22,18,17.5,18,17.5,17.5,18,18,18,17,18,17.5,18.5,18,18,18,17.5,17.5,18,17.5,17.5,17.5,18,85,18.5,18,18,18,18.5,18,18.5,18,18.5,18,18,18,17.5,18,18,18,17.5,18,18.5,18,18,18.5,18,17.5,18,18,18.5,18,17.5,18,18,18,21,18,18,18,18.5,18,18,18,18.5,17.5,18,18,18.5,18,21.5,17.5,18,18,18,18,18.5,18,18,18,18,18.5,18.5,18,18,17.5,18.5,18.5,18,18,18,18,18,18,18,18,18.5,17.5,18,18,18,18,18,18,18,18,19,18.5,18,18,18.5,18,18.5,18,20,18,18.5,18,18.5,18,18,18,18.5,17.5,18,18,20,18,18,18,18,18.5,20,18,18,18.5,18,18.5,18.5,18,18,18,18,17.5,18,17.5,18.5,18.5,18,18,18,17.5,18,18,18,18,17.5,18.5,18,17.5,18,17.5,17.5,17.5,18,17.5,18,18,18,17.5,18,18,18,17.5,20,18,18,18,21,18,18,18,19,18,19,18,17.5,18,18.5,18,21,18,18.5,18,18,18,18,17.5
