"Time","F500000060167A21","9A000000377DB021","4800000037878F21","7500000037C2BA21","CA0000003F520421","18000000602A6421","8F00000060264421","360000005A147421","1800000059F7D621","DB00000038B4EF21","AA0000003F542921","060000006030F621","800000006042C121","DE00000037CD6A21","3600000037D91421","0F00000037D4D921","6F00000037A71D21","750000005A214F21","B900000059F6C721","460000003866BD21","E800000020821321","3F00000037818A21","B9000000377D0F21","B50000003788A021","5500000035919721","D6000000604E9221","9C000000603A6F21","FB0000005AC6EC21","3D0000005AADD121","780000005AB10521","220000005AA32B21","8F0000005AD0F621","E50000005AAED821","D10000005AA90021","920000005AA01521","5B0000005AAAD021","260000005ABF2821*","980000005ACEC921","5F0000005AA74321","A10000005AC8E721","050000005AB9C121","4A0000005AD0A321","E60000005AAC7C21","A90000005ACCCF21","AB0000005AB3CF21","370000005ABD0721","500000005ACF6A21","B60000005AB85B21","090000005AC93F21","280000005AAFD821","4F0000005ACC2521","AF0000005AAAB121","F20000005A9F6B21","550000005ACDFB21","790000005AA56D21","2B0000005AD05D21","C30000005AC36C21","9B0000005AB60321","710000005AC61721","940000005ABC0521","C20000005AB14F21","0D0000005ACC6421","280000005AC88A21","900000005AAAFC21","000000005AC13E21","B30000005AB77F21","6B0000005AD00F21","A00000005AAD0221","980000005AB0C321","950000005AD12821*","170000005AA8DA21","DC0000005AB0B721","B20000005AC44521","380000005AAE5921","2B0000005ABDF521","6C0000005AB4C621","350000005AAC8421","640000005AB2DC21","6E0000005AA31321","7D0000005A9F3321","B50000005AD01821","D10000005AAF5621","030000005AC0B121","8D0000005ACFEB21","D50000005AC48E21","970000005AC97A21","120000005AA1A821","C50000005ACFF521","550000005AC70121","0D0000005A9FD021","850000005A9E2121","8E0000005ABA9421*","980000005ACDE221","AD0000005AB79E21","6F0000005AC5DD21","C50000005ABF6121","0C0000005AA14921","930000005ABF9E21","100000005AA38921","0E0000005AACEF21","840000005ACF2221","B50000005AD10121","000000005AA31121","2D0000005AA49821","7C0000005AC86621","310000005ABF0021","460000005AC70F21","F70000005AA91C21","1A0000005AA1E421","3F0000005AB6A821","730000005AC89A21","D30000005AAC6E21","6E0000005AC8ED21","610000005ACD6C21","700000005ABBB321","BA0000005ABE6721","FF0000005AB23A21","4C0000005AC33421","040000005A9F1921","3A0000005AA1CD21","B40000005AA65F21","DF0000005AA6FE21","B90000005AC1E221","B20000005ACADB21","350000005A9D1F21","740000005AA58221","A50000005AC57421","E10000005AA34B21","850000005AC30B21*","A50000005AC00921","C80000005ABBEA21","890000005AB79121","E90000005AB6F321","C90000005ABA7621","A30000005AB5D521","E30000005AC72121","FF0000005AA5FC21","4D0000005AA19E21","370000005AC21421","740000005AC93321","D10000005AD15C21","600000005AA61721","CD0000005AAD9621","010000005A9D8821","BA0000005AA24221","7A0000005AA19F21","120000005AAF3621","CC0000005AA6F021","F10000005AC82D21","6C0000005AA67D21","700000005AA81121","980000005AC71821","D30000005A9EDE21","FB0000005ACF3D21*","D40000005AB49F21","090000005AA1EA21","690000005AD10521","150000005AD09521","860000005ACD0321","6D0000005AAC0221","A70000005AACAB21","AA0000005AAC4421","CA0000005AA94221*","B30000005AAF3E21","3F0000005AC9BB21","980000005ABC6F21","530000005AADD321","860000005AB21021","580000005AAA4621","220000005A9D3721","A00000005AA1AE21","1B0000005AB7BE21","580000005AD13121","880000005ABFDC21","6F0000005AA6EB21","0C0000005AB4BD21","DF0000005AAB4B21","9F0000005ACB0421","640000005AC07A21","E60000005ACC6121","980000005A9F4F21","3B0000005AB79721","BD0000005AC0DD21","0F0000005AB42B21","690000005AA95921","C70000005AB92421","EC0000005AC6C421","E80000005AC5C921","FC0000005AB5E321","340000005AB76B21","A70000005ABA7421","FD0000005AA6C421","2D0000005AB73A21","350000005AC45121","B50000005AAC2021","430000005AA1E721","760000005A9DDB21","270000005AA0A321"
2024-07-30 03:50:00,22,24,22,22,22,22,21.5,21.5,21.5,21.5,22,25,22,22,22,22,21.5,22,22,22,21.5,22,22,22,22,21.5,21.5,22,22,22,22,22,22,22,22,25,22,22,21.5,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22.5,22.5,24,21.5,22,22.5,22,22,22,22,25,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,24.5,22.5,22,22,22,22,22.5,21.5,22,22.5,22,24,22,25.5,22.5,24,23.5,22.5,22,22,21.5,22,22.5,22,22,22.5,22,22,22,22.5,22,22,22,22,22.5,25.5,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,22,22,22,22.5,22,22,22,22.5,22,21.5,22,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,22,25,22.5,22,22,22,22.5,22,22,24.5,22.5,22,22,22,22,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22,22,22,22,22,21.5,22,22.5,22,22,22
2024-07-30 03:55:00,22,24,22,22,22.5,22,21.5,21.5,21.5,21.5,22,25,22,22,22,22,21.5,22,22,22,21.5,22,22,22,22,21.5,21.5,22,22,22,22,22,22,22,22,25,22,22,21.5,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22.5,24.5,21.5,22,22.5,22,22,22,22,25.5,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,24.5,22.5,22,22,22,22,22.5,21.5,22,22.5,22,24.5,22,26,22.5,24,23.5,22.5,22,22,21.5,22,22.5,22,22,22.5,22,22,22,22.5,22,22,22,22,22.5,25.5,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,22,22,22,22.5,22,22,22,22.5,22,21.5,22,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,21.5,25,22.5,22,22,22,22.5,22,22,24.5,22.5,22,22,22,22,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22,22,22,22,22,21.5,22,22.5,22,22,22
2024-07-30 04:00:00,22,24,22,22,22,21.5,21.5,21.5,21.5,21.5,22,26,22,22,22,22,21.5,22,22,22,21.5,22,22,22,22,21.5,21.5,22,22,22,22,22,22,22,22,25,22,22,21.5,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22.5,24.5,21.5,22,22.5,22,22,22,22,25,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22.5,22,22.5,22.5,22,22.5,22,22,22,22,21.5,22,22,22,24.5,22.5,22,22,22,22,22.5,21.5,22,22.5,22,24,22,26,22.5,24,23.5,22.5,22,22,21.5,22,22.5,22,22,22.5,22,22,22,22.5,22,22,22,22,22.5,25.5,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22,21.5,22,22,22,22,22,22,22.5,22,22,22.5,22,22.5,21.5,25,22.5,22,22,22,22.5,22,22,24.5,22.5,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,21.5,22,22.5,22,22,22
2024-07-30 04:05:00,22,24,22,22,22,21.5,21.5,21.5,21.5,21.5,22,26,22,22,22,22,21.5,22,22,22,21.5,22,22,22,22,21.5,21.5,22,22,22,22,22,22,22,22,25,22,22,21.5,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22.5,24,21.5,22,22.5,22,22,22,22,25,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22.5,22,22.5,22.5,22,22.5,22,22,22,22,21.5,22,22,22,24.5,22.5,22,22,22,22,22.5,21.5,22,22.5,22,23.5,22,25.5,22.5,24,23.5,22.5,22,22,21.5,22,22.5,22,22,22.5,22,22,22,22.5,22,22,22,22,22.5,26,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22,21.5,22,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,21.5,25,22.5,22,22,22,22.5,22,22,24.5,22.5,22,22,22,22,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22,22,22,22,22,21.5,22,22.5,22,22,22
2024-07-30 04:10:00,22,24,22,22,22.5,21.5,21.5,21.5,21.5,21.5,22,26,22,22,22,22,21.5,22,22,22,21.5,22,22,22,22,21.5,21.5,22,22,22,22,22,22,22,22,25,22,22,21.5,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22.5,24,21.5,22,22.5,22,22,22,22,25,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22.5,22,22.5,22.5,22,22.5,22,22,22,22,21.5,22,22,22,24.5,22.5,22,22,22,22,22.5,21.5,22,22.5,22,23.5,22,26,22.5,24,23.5,22.5,22,22,21.5,22,22.5,22,22,22.5,22,22,22,22.5,22,22,22,22,22.5,26,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,22,22,22,22.5,22,22,22,22.5,22,21.5,22,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,21.5,25,22.5,22,22,22,22.5,22,22,24.5,22.5,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,21.5,22,22.5,22,22,22
2024-07-30 04:15:00,22,23.5,22,22,22,21.5,21.5,21.5,21.5,21.5,22,25.5,22,22,22,22,21.5,22,22,22,21.5,22,22,22,22,21.5,21.5,22,22,22,22,22,22,22,21.5,24.5,22,22,21.5,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22.5,24,21.5,22,22.5,22,22,22,22,25,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,24.5,22,22,22,22,22,22.5,21.5,22,22.5,22,23.5,22,26,22.5,24,23.5,22,22,22,21.5,22,22.5,22,22,22.5,22,22,22,22.5,22,22,22,22,22.5,26,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,21.5,22,22,22.5,22,22,22,22.5,22,21.5,22,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,21.5,25,22.5,22,22,22,22.5,22,22,24.5,22.5,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,21.5,22,22,22,22,22,22,21.5,22,22.5,22,22,22
2024-07-30 04:20:00,22,24,22,22,22,21.5,21.5,21.5,21.5,21.5,22,25,22,22,22,22,21.5,21.5,22,22,21.5,22,22,22,22,21.5,21.5,22,22,22,22,22,22,22,22,24.5,22,22,21.5,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22.5,24.5,21.5,22,22.5,22,22,22,22,24.5,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22,22,22.5,22.5,22,22.5,22,22,22,22,21.5,22,22,22,24.5,22,22,22,22,22,22.5,21.5,22,22.5,22,23.5,22,26,22.5,24,23.5,22,22,22,21.5,22,22.5,22,22,22.5,22,22,22,22.5,22,22,22,22,22.5,26,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,21.5,22,22.5,22.5,22,22,22,22.5,22,21.5,22,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,21.5,25,22.5,22,22,22,22.5,22,22,24.5,22.5,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,21.5,22,22,22,22,22,22,21.5,22,22.5,22,22,22
2024-07-30 04:25:00,22,24,22,22,22,21.5,21.5,21.5,21.5,21.5,22,25.5,22,22,22,22,21.5,21.5,22,22,21.5,22,22,22,22,21.5,21.5,22,22,22,22,22,22,22,22,24.5,22,22,21.5,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22.5,24,21.5,22,22.5,22,22,22,22,24.5,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22,22,22.5,22.5,22,22.5,22,22,22,22,21.5,22,22,22,24,22.5,22,22,22,22,22.5,21.5,22,22.5,22,23.5,22,25.5,22.5,24,23.5,22,22,22,21.5,22,22.5,22,21.5,22.5,22,22,22,22.5,22,22,22,22,22.5,26,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,21.5,22,22,22.5,22,22,22,22.5,22,21.5,22,22,22,22,22,22,22.5,22,22,22.5,22,22,21.5,24.5,22.5,22,22,22,22.5,22,22,25,22.5,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,21.5,22,22.5,21.5,22,22
2024-07-30 04:30:00,22,24,22,22,22,21.5,21.5,21.5,21.5,21.5,22,25.5,22,22,22,22,21.5,21.5,22,22,21.5,22,22,22,22,21.5,21.5,22,22,22,22,22,21.5,22,21.5,24.5,21.5,22,21.5,22.5,22.5,22,22,22,22.5,22,22,22,22,22,22.5,24,21.5,22,22.5,22,22,22,22,24.5,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22,22,22.5,22.5,22,22.5,22,22,22,22,21.5,22,22,22,24,22.5,22,22,22,22,22,21.5,22,22.5,22,23.5,22,25.5,22.5,24,23.5,22,21.5,22,21.5,22,22.5,22,22,22.5,22,22,22,22.5,22,22,22,22,22.5,26,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,21.5,22,22,22.5,22,22,22,22.5,22,21.5,22,22,22,22,22,22,22.5,22,21.5,22.5,22,22,21.5,24.5,22.5,22,22,22,22.5,22,22,24.5,22,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,21.5,22,22,22,22,22,22,21.5,22,22.5,21.5,22,22
2024-07-30 04:35:00,22,24,22,22,22,21.5,21.5,21.5,21.5,21.5,21.5,25,22,22,22,22,21.5,21.5,22,22,21.5,21.5,22,22,22,21.5,21.5,22,22,21.5,22,22,21.5,22,21.5,24.5,21.5,22,21.5,22,22,22,22,21.5,22,22,22,22,22,22,22.5,24,21.5,22,22,22,22,22,22,24.5,22.5,22,22,22,22,21.5,22,22,21.5,22,22,22.5,22,22,22.5,22,22,22,22.5,22,22.5,22,22,22,22,21.5,21.5,22,22,25,22.5,22,22,22,22,22,21.5,22,22.5,22,23.5,22,25.5,22.5,24,23.5,22,21.5,22,21.5,22,22,22,21.5,22.5,22,22,22,22.5,22,22,22,22,22,26,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,21.5,22,22,22.5,22,21.5,22,22.5,22,21.5,22,22,22,22,21.5,22,22.5,22,22,22,22,22,21.5,24.5,22.5,22,22,22,22.5,22,22,24.5,22,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,21.5,21.5,22,22,22,22,22,21.5,22,22.5,21.5,22,22
2024-07-30 04:40:00,21.5,24,22,22,22,21.5,21.5,21.5,21.5,21.5,21.5,25.5,22,22,22,22,21.5,21.5,22,22,21.5,21.5,22,22,22,21.5,21.5,22,22,21.5,22,22,21.5,22,21.5,24.5,21.5,22,21.5,22,22,21.5,22,21.5,22,22,22,21.5,21.5,22,22,24,21.5,22,22,22,22,22,22,24.5,22.5,22,22,22,22,21.5,21.5,22,21.5,22,22,22.5,22,22,22,22,22,22,22,22,22.5,22,21.5,22,22,21.5,21.5,22,22,24.5,22,22,22,22,22,22,21.5,22,22.5,22,23.5,22,25,22.5,24,23.5,22,21.5,22,21.5,22,22,22,21.5,22.5,22,22,22,22.5,22,22,22,22,22,25.5,22,22,22.5,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,21.5,22,22,22.5,22,21.5,22,22.5,22,21.5,22,22,21.5,22,21.5,22,22,22,21.5,22,22,22,21.5,24.5,22.5,22,22,22,22.5,22,22,24.5,22,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,21.5,21.5,22,22,22,22,22,21.5,22,22.5,21.5,22,22
2024-07-30 04:45:00,21.5,24,22,22,22,21.5,21.5,21.5,21.5,21.5,21.5,26,22,22,22,22,21.5,21.5,22,22,21.5,21.5,22,21.5,22,21.5,21.5,22,22,21.5,22,22,21.5,22,21.5,24.5,21.5,22,21.5,22,22,22,22,21.5,22,22,22,21.5,21.5,22,22,24,21.5,22,22,22,21.5,22,22,25,22.5,22,22,22,22,21.5,21.5,22,21.5,22,21.5,22.5,22,22,22,22,22,22,22,22,22,22,22,22,22,21.5,21.5,22,22,24.5,22,22,22,22,22,22,21.5,22,22,22,23.5,22,25,22.5,24,23.5,22,21.5,22,21.5,22,22,22,21.5,22.5,22,22,22,22.5,22,22,22,22,22,26,22,22,22,22,22,24.5,22,22,22,22,22,21.5,22,22,22.5,22,21.5,22,22,22.5,21.5,21.5,22,22.5,22,21.5,22,22,21.5,22,21.5,22,22,22,21.5,22,22,22,21.5,24.5,22,22,22,22,22,22,22,24.5,22,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,21.5,21.5,22,22,22,22,22,21.5,22,22.5,21.5,22,22
2024-07-30 04:50:00,21.5,24,21.5,22,22,21.5,21.5,21.5,21.5,21.5,21.5,26,21.5,21.5,21.5,22,21.5,21.5,22,22,21.5,21.5,21.5,21.5,22,21,21.5,22,22,21.5,22,22,21.5,22,21.5,24,21.5,22,21.5,22,22,21.5,22,21.5,22,22,22,21.5,21.5,22,22,24,21.5,22,22,22,21.5,22,22,24.5,22.5,22,22,22,22,21.5,21.5,22,21.5,22,21.5,22.5,22,22,22,22,22,22,22,22,22,22,22,22,22,21.5,21.5,22,22,24.5,22,22,22,22,21.5,22,21.5,22,22,22,23.5,22,25,22.5,23.5,23,22,21.5,22,21.5,22,22,22,21.5,22.5,22,22,22,22.5,22,22,22,22,22,25.5,22,22,22,22,22,24.5,22,22,22,22,21.5,21.5,22,22,22.5,22,21.5,22,22,22.5,21.5,21.5,22,22.5,21.5,21.5,22,22,21.5,22,21.5,22,22,22,21.5,22,22,22,21.5,24.5,22,22,22,22,22,22,22,24.5,22,22,22,22,22,22,22,22,22.5,22,22.5,21.5,21.5,21.5,22,22,22,22,22,21.5,22,22.5,21.5,22,22
2024-07-30 04:55:00,21.5,23.5,21.5,22,22,21.5,21.5,21.5,21.5,21.5,21.5,26,22,21.5,22,22,21.5,21.5,22,22,21.5,21.5,21.5,21.5,22,21,21.5,22,22,21.5,22,22,21.5,22,21.5,24,21.5,22,21.5,22,22,21.5,22,21.5,22,21.5,22,21.5,21.5,22,22,24,21.5,21.5,22,22,21.5,22,22,24.5,22.5,22,22,22,22,21.5,21.5,22,21.5,22,21.5,22,22,22,22,22,22,22,22,22,22,22,21.5,22,22,21.5,21.5,22,22,24,22,22,22,22,21.5,22,21.5,22,22,21.5,23.5,22,25.5,22,24,23,22,21.5,22,21.5,22,22,22,21.5,22,22,22,22,22,22,22,22,22,22,25,21.5,22,22,22,22,24.5,22,22,22,22,21.5,21.5,22,22,22.5,22,21.5,22,22,22.5,21.5,21.5,22,22,21.5,21.5,22,22,21.5,22,21.5,22,22,21.5,21.5,22,22,22,21.5,24.5,22,22,22,22,22,22,22,24.5,22,22,21.5,22,22,22,22,22.5,22,22,22,21.5,21.5,21.5,22,22,22,22,22,21.5,22,22.5,21.5,22,22
2024-07-30 05:00:00,21.5,23.5,21.5,22,22,21.5,21.5,21.5,21.5,21.5,21.5,25,21.5,21.5,21.5,22,21,21.5,22,22,21,21.5,21.5,21.5,22,21,21.5,22,22,21.5,22,21.5,21.5,22,21.5,24,21.5,22,21.5,22,22,21.5,22,21.5,22,21.5,22,21.5,21.5,22,22,24,21.5,21.5,22,22,21.5,22,22,25,22,22,22,22,22,21.5,21.5,22,21.5,22,21.5,22,22,22,22,22,22,22,22,22,22,22,21.5,22,22,21.5,21.5,22,22,24,22,22,22,22,21.5,22,21.5,22,22,21.5,23,22,25,22,24,23,22,21.5,22,21.5,22,22,22,21.5,22,22,22,22,22,22,22,22,22,22,24.5,21.5,21.5,22,21.5,22,25,22,22,21.5,22,21.5,21.5,21.5,22,22.5,22,21.5,22,22,22.5,21.5,21.5,22,22,21.5,21.5,21.5,22,21.5,22,21.5,22,22,21.5,21.5,22,22,22,21.5,24.5,22,22,22,22,22,22,22,24.5,22,22,21.5,22,21.5,22,22,22,22,22,22,21.5,21.5,21.5,22,21.5,22,22,22,21.5,22,22.5,21.5,22,22
2024-07-30 05:05:00,21.5,23.5,21.5,22,22,21.5,21.5,21.5,21.5,21.5,21.5,24.5,21.5,21.5,21.5,22,21,21.5,21.5,22,21,21.5,21.5,21.5,22,21,21.5,22,22,21.5,22,22,21.5,22,21.5,24,21.5,22,21.5,22,22,21.5,22,21.5,22,21.5,22,21.5,21.5,22,22,24,21.5,21.5,22,22,21.5,22,22,25,22,21.5,22,22,22,21.5,21.5,22,21.5,22,21.5,22,22,22,22,22,22,22,22,22,22,22,21.5,22,22,21.5,21.5,22,21.5,23.5,22,22,22,21.5,21.5,22,21.5,22,22,21.5,23,22,25,22,24,23,22,21.5,22,21.5,22,22,22,21.5,22,22,22,22,22,22,22,22,22,22,24,21.5,21.5,22,22,22,25,22,22,21.5,22,21.5,21.5,21.5,22,22.5,22,21.5,22,22,22,21.5,21.5,22,22,21.5,21.5,21.5,22,21.5,22,21.5,22,22,21.5,21.5,22,22,22,21.5,24.5,22,22,22,21.5,22,22,22,24.5,22,22,21.5,22,21.5,22,22,22.5,22,22,22,21.5,21.5,21.5,22,21.5,21.5,22,22,21.5,22,22.5,21.5,22,22
2024-07-30 05:10:00,21.5,23.5,21.5,22,22,21.5,21.5,21.5,21,21.5,21.5,24,21.5,21.5,21.5,22,21,21.5,21.5,21.5,21,21.5,21.5,21.5,22,21,21.5,22,22,21.5,21.5,21.5,21.5,22,21.5,24,21.5,21.5,21,22,22,21.5,22,21.5,22,21.5,22,21.5,21.5,22,22,24,21.5,21.5,22,22,21.5,22,22,24.5,22,21.5,22,22,21.5,21.5,21.5,22,21.5,22,21.5,22,22,22,22,22,22,22,22,22,22,21.5,21.5,22,22,21.5,21.5,22,21.5,23.5,22,22,22,21.5,21.5,22,21.5,22,22,21.5,23.5,22,24.5,22,23.5,23,22,21.5,22,21,22,22,22,21.5,22,22,22,22,22,22,22,22,21.5,22,23.5,21.5,21.5,22,21.5,22,25,22,22,21.5,21.5,21.5,21.5,21.5,22,22.5,22,21.5,22,22,22,21.5,21.5,22,22,21.5,21.5,21.5,22,21.5,22,21.5,22,22,21.5,21.5,22,22,22,21.5,24.5,22,22,22,21.5,22,22,22,24,22,22,21.5,22,21.5,22,22,22,22,22,22,21.5,21.5,21.5,22,21.5,21.5,22,22,21.5,22,22.5,21.5,21.5,22
2024-07-30 05:15:00,21.5,23.5,21.5,22,22,21.5,21.5,21.5,21,21.5,21.5,24,21.5,21.5,21.5,22,21,21.5,21.5,21.5,21,21.5,21.5,21.5,22,21,21.5,22,21.5,21.5,21.5,21.5,21.5,22,21.5,23.5,21.5,21.5,21.5,22,22,21.5,22,21.5,22,21.5,22,21.5,21.5,22,22,24,21,21.5,22,22,21.5,22,22,24.5,22,21.5,22,22,22,21.5,21.5,22,21.5,22,21.5,22,22,22,22,22,22,22,22,21.5,22,21.5,21.5,22,21.5,21.5,21.5,22,21.5,23.5,22,22,22,21.5,21.5,22,21.5,22,22,21.5,23.5,22,24.5,22,23.5,23,22,21.5,22,21.5,22,22,22,21.5,22,22,22,21.5,22,22,22,22,21.5,22,23.5,21.5,21.5,22,21.5,22,25,22,22,21.5,21.5,21.5,21.5,21.5,22,22.5,22,21.5,22,22,22,21.5,21.5,22,22,21.5,21.5,21.5,22,21.5,21.5,21.5,22,22,21.5,21.5,22,22,22,21.5,24.5,22,22,22,21.5,22,21.5,22,24,22,22,21.5,22,21.5,22,22,22,22,22,22,21.5,21.5,21.5,22,21.5,22,22,22,21.5,22,22,21.5,21.5,22
2024-07-30 05:20:00,21.5,23.5,21.5,21.5,22,21.5,21.5,21.5,21,21.5,21.5,23.5,21.5,21.5,21.5,22,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21.5,21,21.5,22,21.5,21.5,21.5,21.5,21.5,22,21.5,23.5,21.5,21.5,21,22,22,21.5,22,21.5,22,21.5,22,21.5,21.5,22,22,24,21,21.5,22,22,21.5,22,22,24.5,22,21.5,22,22,21.5,21.5,21.5,22,21.5,22,21.5,22,21.5,22,22,22,22,22,22,21.5,22,21.5,21.5,22,21.5,21.5,21.5,22,21.5,23.5,22,22,21.5,21.5,21.5,22,21.5,21.5,22,21.5,23.5,22,24.5,22,24,23.5,22,21.5,22,21,22,22,22,21.5,22,22,22,21.5,22,22,22,22,21.5,22,23.5,21.5,21.5,22,21.5,22,24.5,22,21.5,21.5,21.5,21.5,21.5,21.5,22,22.5,22,21.5,22,22,22,21.5,21.5,22,22,21.5,21.5,21.5,22,21.5,22,21.5,21.5,22,21.5,21.5,22,21.5,22,21.5,25,22,22,21.5,21.5,22,21.5,22,24,22,22,21.5,22,21.5,22,21.5,22,22,22,22,21.5,21.5,21.5,21.5,21.5,21.5,22,22,21.5,22,22,21.5,21.5,22
2024-07-30 05:25:00,21.5,23.5,21.5,21.5,21.5,21,21.5,21.5,21,21.5,21.5,23.5,21.5,21.5,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21.5,21,21.5,21.5,21.5,21.5,21.5,21.5,21.5,22,21.5,24,21,21.5,21,22,22,21.5,22,21.5,22,21.5,22,21.5,21.5,22,22,24,21,21.5,21.5,22,21.5,21.5,22,25,22,21.5,21.5,21.5,21.5,21,21.5,21.5,21,21.5,21.5,22,21.5,22,22,22,22,22,22,21.5,22,21.5,21.5,22,21.5,21.5,21.5,22,21.5,23,22,22,21.5,21.5,21.5,22,21.5,21.5,22,21.5,23.5,22,24.5,22,24,23.5,22,21.5,22,21,21.5,22,22,21.5,22,21.5,22,21.5,22,21.5,21.5,22,21.5,22,23.5,21.5,21.5,22,21.5,22,24,22,21.5,21.5,21.5,21.5,21.5,21.5,21.5,22.5,21.5,21.5,22,22,22,21.5,21.5,21.5,22,21.5,21.5,21.5,22,21.5,21.5,21.5,21.5,22,21.5,21.5,22,21.5,22,21,25,22,21.5,21.5,21.5,22,21.5,21.5,24,21.5,21.5,21.5,21.5,21.5,22,21.5,22,22,22,22,21.5,21.5,21.5,21.5,21.5,21.5,22,22,21.5,21.5,22,21.5,21.5,21.5
2024-07-30 05:30:00,21.5,23.5,21.5,21.5,22,21,21.5,21,21,21,21.5,24,21.5,21.5,21,21.5,21,21.5,21.5,21.5,21,21.5,21.5,21.5,21.5,21,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21,24,21,21.5,21,22,22,21.5,21.5,21.5,22,21.5,21.5,21.5,21.5,22,22,24,21,21.5,22,22,21.5,21.5,21.5,25,22,21.5,21.5,21.5,21.5,21,21.5,21.5,21,21.5,21.5,22,21.5,21.5,22,22,22,22,22,21.5,22,21.5,21.5,21.5,21.5,21,21.5,21.5,21.5,23,22,22,21.5,21.5,21.5,22,21.5,21.5,22,21.5,24.5,21.5,24,22,23.5,23,22,21.5,22,21,21.5,22,21.5,21.5,22,21.5,22,21.5,22,21.5,21.5,22,21.5,22,23.5,21.5,21.5,22,21.5,22,24,21.5,21.5,21.5,21.5,21.5,21,21.5,21.5,22.5,21.5,21.5,21.5,22,22,21.5,21.5,21.5,22,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,22,21.5,21.5,22,21.5,22,21,24.5,22,21.5,21.5,21.5,22,21.5,21.5,24,21.5,21.5,21.5,21.5,21.5,22,21.5,22,22,22,22,21.5,21,21.5,21.5,21.5,21.5,22,22,21.5,21.5,22,21,21.5,21.5
